# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_201937
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 1200
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
445 289 3106 55.70 29.58 11.92 14.17 44.30
446 284 3072 51.33 29.29 8.24 13.78 48.67
447 252 3002 54.42 29.16 11.12 14.12 45.58
448 262 3020 60.39 34.03 12.86 13.48 39.61
449 501 3159 51.49 27.81 9.69 13.97 48.51
450 501 3145 42.31 26.83 11.52 3.94 57.69
451 469 3238 43.11 29.22 11.51 2.36 56.89
452 495 3273 51.19 29.23 9.55 12.39 48.81
453 465 3191 64.01 37.80 12.33 13.86 35.99
454 464 3160 52.48 28.68 10.07 13.71 47.52
455 476 3158 52.66 28.06 10.56 14.03 47.34
456 476 3143 49.93 27.12 9.27 13.52 50.07
457 481 3275 46.07 27.01 9.55 9.50 53.93
458 445 3193 56.80 30.61 12.13 14.04 43.20
459 439 3189 58.12 33.20 10.33 14.56 41.88
460 436 3156 53.19 28.53 10.48 14.16 46.81
461 433 3138 51.73 32.28 14.26 5.17 48.27
462 427 3103 48.05 32.06 13.35 2.62 51.95
463 507 3324 54.94 32.54 13.28 9.10 45.06
464 517 3321 53.32 29.24 10.03 14.04 46.68
465 514 3288 48.40 26.08 8.41 13.89 51.60
466 507 3251 50.69 28.97 8.15 13.56 49.31
467 503 3233 49.41 26.19 9.04 14.16 50.59
468 513 3338 46.48 28.40 10.67 7.38 53.52
469 543 3397 42.54 22.44 16.07 4.01 57.46
470 543 3389 42.27 20.63 17.37 4.24 57.73
471 518 3369 32.09 21.37 9.04 1.67 67.91
472 515 3366 42.36 24.28 15.68 2.38 57.64
473 469 3290 53.02 33.28 16.54 3.17 46.98
474 473 3280 53.20 29.19 10.48 13.51 46.80
475 439 3194 59.83 34.02 12.08 13.71 40.17
476 459 3278 56.30 32.01 10.77 13.50 43.70
477 455 3260 53.98 30.57 9.21 14.18 46.02
478 452 3243 46.96 26.48 9.46 11.00 53.04
479 413 3188 58.72 38.32 15.71 4.67 41.28
480 400 3146 54.73 34.54 15.21 4.96 45.27
481 394 3124 53.71 35.69 13.48 4.52 46.29
482 402 3118 48.95 26.15 9.36 13.42 51.05
483 380 3236 48.70 28.03 12.13 8.52 51.30
484 391 3232 51.51 31.17 15.08 5.23 48.49
485 368 3195 56.28 29.95 12.55 13.76 43.72
486 434 3213 54.74 30.09 10.55 14.07 45.26
487 432 3196 50.27 26.21 10.26 13.78 49.73
488 427 3161 34.19 24.02 8.33 1.82 65.81
